Al,Co,Fe,Ni,Si,Mn,Cr,Mo,Ti,Cu,Zr,V,Nb,Sn,Zn,Ta,Hf,W,B,C,FCC,BCC,IM
0.1667,0.1667,0.1667,0.1667,0.1667,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,1,1,0
0.1667,0.1667,0.1667,0.1667,0,0,0.1667,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,1,1,0
0.1667,0.1667,0.1667,0.1667,0,0,0,0,0.1667,0.1667,0,0,0,0,0,0,0,0,0,0,1,1,0
0.1667,0.1667,0.1667,0.1667,0,0,0,0,0,0.1667,0.1667,0,0,0,0,0,0,0,0,0,1,1,1
0.1667,0.1667,0.1667,0.1667,0,0,0.1667,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,1,1,0
0.1428,0.1428,0.1428,0.1428,0,0.1428,0.1428,0,0,0.1428,0,0,0,0,0,0,0,0,0,0,1,1,1
0.1428,0.1428,0.1428,0.1428,0,0,0.1428,0,0.1428,0.1428,0,0,0,0,0,0,0,0,0,0,1,1,1
0.1428,0.1428,0.1428,0.1428,0,0,0.1428,0,0,0.1428,0,0.1428,0,0,0,0,0,0,0,0,1,1,0
0,0.25,0.25,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.2488,0.2488,0.2488,0,0,0,0,0,0.2488,0,0,0,0.005,0,0,0,0,0,0,1,0,0
0,0.2475,0.2475,0.2475,0,0,0,0,0,0.2475,0,0,0,0.0099,0,0,0,0,0,0,1,0,1
0,0.2469,0.2469,0.2469,0,0,0,0,0,0.2469,0,0,0,0.0123,0,0,0,0,0,0,1,0,1
0,0.2457,0.2457,0.2457,0,0,0,0,0,0.2457,0,0,0,0.0172,0,0,0,0,0,0,1,0,1
0,0.2439,0.2439,0.2439,0,0,0,0,0,0.2439,0,0,0,0.0244,0,0,0,0,0,0,1,0,1
0,0.2381,0.2381,0.2381,0,0,0,0,0,0.2381,0,0,0,0.0476,0,0,0,0,0,0,1,0,1
0.0385,0,0.1923,0.3846,0,0,1923,0,0,0.1923,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0741,0,0.1852,0.3704,0,0,0.1852,0,0,0.1852,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1071,0,0.1786,0.3571,0,0,0.1786,0,0,0.1786,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1379,0,0.1724,0.3448,0,0,0.1724,0,0,0.1724,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1667,0,0.1667,0.3333,0,0,0.1667,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1935,0,0.1613,0.3226,0,0,0.1613,0,0,0.1613,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1667,0,0.1667,0.1667,0,0,0.1667,0,0.1667,0.1667,0,0,0,0,0,0,0,0,0,0,0,1,1
0.276,0,0,0,0,0,0,0,0.246,0,0,0.238,0.242,0,0,0,0,0,0,0,0,1,0
0.256,0,0,0,0,0,0.102,0,0.214,0,0,0.206,0.222,0,0,0,0,0,0,0,0,1,0
0.229,0,0,0,0,0,0.188,0,0.193,0,0,0.188,0.202,0,0,0,0,0,0,0,0,1,1
0.217,0,0,0,0,0,0.25,0,0.178,0,0,0.168,0.187,0,0,0,0,0,0,0,0,1,1
0.2,0,0,0,0,0,0,0.1,0.2,0,0.2,0,0.2,0,0,0.1,0,0,0,0,0,1,1
0.2,0,0,0,0,0,0,0,0.3,0,0.1,0,0.3,0,0,0.1,0,0,0,0,0,1,0
0.08,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0.2,0.12,0,0,0,0,1,0
0.06,0,0,0,0,0,0,0,0.28,0,0.26,0,0.2,0,0,0.2,0,0,0,0,0,1,1
0.06,0,0,0,0,0,0,0,0.28,0,0.26,0.04,0.2,0,0,0.16,0,0,0,0,0,1,0
0.1,0,0,0,0,0,0,0,0.3,0,0.2,0.04,0.2,0,0,0.16,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0.202,0,0.199,0,0.189,0,0,0.202,0.208,0,0,0,0,1,1
0.066,0,0,0,0,0,0,0,0.184,0,0.193,0,0.186,0,0,0.184,0.187,0,0,0,0,1,1
0.094,0,0,0,0,0,0,0,0.183,0,0.191,0,0.176,0,0,0.176,0.18,0,0,0,0,1,1
0.125,0,0,0,0,0,0,0,0.176,0,0.18,0,0.174,0,0,0.176,0.169,0,0,0,0,1,1
0.162,0,0,0,0,0,0,0,0.174,0,0.166,0,0.169,0,0,0.164,0.164,0,0,0,0,1,1
0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,1,0
0.0588,0,0,0,0,0,0,0.2353,0.2353,0,0,0.2353,0.2353,0,0,0,0,0,0,0,0,1,0
0.1111,0,0,0,0,0,0,0.2222,0.2222,0,0,0.2222,0.2222,0,0,0,0,0,0,0,0,1,0
0.1579,0,0,0,0,0,0,0.2105,0.2105,0,0,0.2105,0.2105,0,0,0,0,0,0,0,0,1,0
0.2,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,1,0
0.2727,0,0,0,0,0,0,0.1818,0.1818,0,0,0.1818,0.1818,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,1,0
0.0588,0,0,0,0,0,0,0,0.2353,0,0,0.2353,0.2353,0,0,0.2353,0,0,0,0,0,1,0
0.1111,0,0,0,0,0,0,0,0.2222,0,0,0.2222,0.2222,0,0,0.2222,0,0,0,0,0,1,0
0.2,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,1,0
0.266,0,0,0,0,0,0,0,0.251,0,0,0.245,0.238,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,1,1
0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0,0,0,0,1,1
0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0,0,0,0,1,1
0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0,0,0,0,1,1
0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0,0,0,0,1,1
0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0.197,0,0.2123,0,0.1893,0,0,0.1968,0.2046,0,0,0,0,1,0
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,1,0
0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0,0.2,0,0.2,0,0,0,1,0
0,0,0,0,0,0,0,0.125,0.25,0,0.25,0,0.25,0,0,0,0.125,0,0,0,0,1,0
0,0,0,0,0,0,0,0.122,0.2439,0,0.2439,0,0.2439,0,0,0,0.122,0,0,0.0244,0,1,1
0,0,0,0,0,0,0,0.1163,0.2326,0,0.2326,0,0.2326,0,0,0,0.1163,0,0,0.0698,0,1,1
0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0.2,0.2,0,0,0,0,1,0
0,0,0,0,0,0,0,0.048,0.19,0,0.19,0,0.19,0,0,0.19,0.19,0,0,0,0,1,0
0,0,0,0,0,0,0,0.091,0.182,0,0.182,0,0.182,0,0,0.182,0.182,0,0,0,0,1,0
0,0,0,0,0,0,0,0.13,0.174,0,0.174,0,0.174,0,0,0.174,0.174,0,0,0,0,1,0
0,0,0,0,0,0,0,0.167,0.167,0,0.167,0,0.167,0,0,0.167,0.167,0,0,0,0,1,0
0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0.2,0.2,0,0,0,0,1,0
0,0,0,0,0.1111,0,0,0,0.2222,0,0,0.2222,0.2222,0,0,0,0.2222,0,0,0,0,1,1
0,0,0,0,0.0909,0,0,0,0.1818,0,0.1818,0.1818,0.1818,0,0,0,0.1818,0,0,0,0,1,1
0,0,0,0,0.0909,0,0,0,0.1818,0,0.1818,0.1818,0.1818,0,0,0,0.1818,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,1,0
